K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
200673_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	7207.65	605.3	559.8	401.9
200674_s_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	7207.65	8118.8	559.8	401.9
200675_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	4394.0	1217.0	559.8	79.9
200676_s_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	4394.0	172.5	559.8	79.9
200677_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	4394.0	427.3	559.8	79.9
200678_x_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	4394.0	593.5	559.8	79.9
200679_x_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	4394.0	976.0	441.0	79.9
200680_x_at	345.8	1059.05	443.55	1424.175	229.8	940.9749999999999	4394.0	2509.0	441.0	79.9
200681_at	345.8	1059.05	443.55	1424.175	377.55	940.9749999999999	4394.0	859.5	441.0	113.05
200682_s_at	345.8	1059.05	443.55	1424.175	377.55	940.9749999999999	4394.0	595.5	441.0	113.05
200683_s_at	1424.175	1059.05	443.55	11329.4	377.55	136.45	4394.0	294.8	441.0	113.05
200684_s_at	338.15	1059.05	443.55	11329.4	377.55	136.45	399.3	215.0	441.0	113.05
200685_at	338.15	1059.05	447.15	11329.4	377.55	136.45	399.3	176.3	441.0	247.8
200686_s_at	338.15	394.5	447.15	11329.4	377.55	136.45	399.3	911.8	441.0	613.3
200687_s_at	338.15	394.5	447.15	11329.4	377.55	136.45	399.3	252.0	441.0	351.8
200688_at	338.15	394.5	447.15	11329.4	377.55	136.45	399.3	364.15	441.0	233.8
200689_x_at	338.15	394.5	447.15	11329.4	377.55	136.45	399.3	364.15	441.0	4629.5
200690_at	338.15	394.5	447.15	11329.4	377.55	136.45	399.3	364.15	441.0	220.0
200691_s_at	338.15	394.5	447.15	4797.25	377.55	136.45	399.3	364.15	441.0	392.0
200692_s_at	338.15	394.5	447.15	4797.25	336.4	136.45	399.3	364.15	441.0	346.0
200693_at	338.15	394.5	447.15	4797.25	336.4	136.45	399.3	364.15	16085.05	912.5
200694_s_at	338.15	394.5	743.5	4797.25	336.4	136.45	399.3	364.15	16085.05	624.0
200695_at	338.15	394.5	5725.75	4797.25	336.4	136.45	399.3	364.15	16085.05	1284.45
200696_s_at	411.9	394.5	5725.75	4797.25	336.4	136.45	126.0	364.15	16085.05	1284.45
200697_at	411.9	405.4	5725.75	675.9	336.4	136.45	126.0	364.15	16085.05	1284.45
200698_at	411.9	405.4	5725.75	675.9	336.4	136.45	126.0	364.15	16085.05	1284.45
200699_at	411.9	405.4	5725.75	675.9	336.4	136.45	126.0	364.15	16085.05	1284.45
200700_s_at	411.9	405.4	5725.75	675.9	336.4	173.0	126.0	364.15	16085.05	1284.45
200701_at	411.9	405.4	5725.75	675.9	336.4	387.3	126.0	8994.75	16085.05	1284.45
200702_s_at	411.9	405.4	5725.75	3770.5	336.4	234.3	126.0	370.25	16085.05	83.5
200703_at	411.9	405.4	5725.75	2727.95	336.4	385.8	126.0	370.25	16085.05	83.5
200704_at	411.9	405.4	8136.65	2727.95	929.55	412.5	126.0	370.25	16085.05	83.5
200705_s_at	411.9	405.4	8136.65	2727.95	929.55	2385.8	126.0	370.25	1636.8000000000002	3034.0
200706_s_at	411.9	133.0	8136.65	2727.95	929.55	381.8	126.0	370.25	717.4	642.8
200707_at	411.9	133.0	8136.65	2727.95	929.55	363.3	126.0	370.25	717.4	15709.4
200708_at	411.9	133.0	8136.65	2727.95	929.55	263.0	126.0	370.25	717.4	15709.4
200709_at	411.9	133.0	8136.65	2727.95	284.4	342.3	345.8	370.25	717.4	15709.4
200710_at	411.9	133.0	8136.65	2727.95	284.4	425.8	345.8	390.15	717.4	15709.4
200711_s_at	411.9	133.0	8136.65	2727.95	284.4	255.3	345.8	390.15	717.4	15709.4
200712_s_at	411.9	133.0	8136.65	2727.95	284.4	807.9	345.8	390.15	1276.4	15709.4
200713_s_at	411.9	133.0	8136.65	919.3	284.4	807.9	345.8	390.15	1276.4	15709.4
200714_x_at	486.5	133.0	8136.65	720.5	284.4	807.9	345.8	390.15	1276.4	15709.4
200715_x_at	3032.3	133.0	13227.05	720.5	284.4	807.9	345.8	390.15	1276.4	15709.4
200716_x_at	9817.3	133.0	13227.05	720.5	1500.15	807.9	345.8	390.15	1276.4	8710.5
200717_x_at	4274.0	133.0	13227.05	720.5	1500.15	807.9	345.8	390.15	407.65	5582.3
200718_s_at	761.5	133.0	13227.05	720.5	1500.15	807.9	345.8	390.15	407.65	1159.8
200719_at	275.5	133.0	13227.05	720.5	1500.15	807.9	345.8	390.15	407.65	434.0
200720_s_at	137.5	133.0	13227.05	720.5	1500.15	807.9	345.8	390.15	407.65	410.3
200721_s_at	200.0	133.0	13227.05	720.5	1500.15	807.9	345.8	95.65	407.65	352.0
200722_s_at	189.0	133.0	13227.05	720.5	1500.15	807.9	392.15	95.65	407.65	400.5
200723_s_at	271.8	133.0	13227.05	720.5	1500.15	807.9	392.15	95.65	407.65	477.3
200724_at	124.5	133.0	13227.05	720.5	1500.15	441.0	392.15	95.65	407.65	250.3
200725_x_at	4522.5	133.0	13227.05	720.5	1500.15	441.0	392.15	95.65	407.65	394.5
200726_at	589.0	133.0	13227.05	720.5	1500.15	441.0	392.15	95.65	430.25	394.5
200727_s_at	254.3	133.0	434.05	720.5	1500.15	441.0	392.15	95.65	430.25	394.5
200728_at	594.8	133.0	434.05	720.5	1500.15	441.0	392.15	95.65	430.25	394.5
200729_s_at	238.3	133.0	434.05	720.5	979.0	441.0	392.15	95.65	430.25	394.5
200730_s_at	385.3	4684.8	434.05	720.5	979.0	441.0	392.15	453.25	430.25	394.5
200731_s_at	940.9749999999999	243.525	434.05	3890.0	979.0	441.0	392.15	453.25	430.25	394.5
200732_s_at	940.9749999999999	243.525	434.05	496.25	979.0	441.0	392.15	453.25	430.25	394.5
200733_s_at	940.9749999999999	243.525	434.05	496.25	979.0	441.0	392.15	453.25	430.25	394.5
200734_s_at	940.9749999999999	243.525	434.05	496.25	455.54999999999995	441.0	392.15	453.25	430.25	537.3
200735_x_at	940.9749999999999	243.525	434.05	496.25	455.54999999999995	441.0	392.15	453.25	430.25	4696.8
200736_s_at	940.9749999999999	243.525	434.05	496.25	455.54999999999995	441.0	929.05	453.25	430.25	532.0
200737_at	940.9749999999999	243.525	434.05	496.25	455.54999999999995	441.0	929.05	453.25	401.65	474.3
200738_s_at	940.9749999999999	243.525	434.05	496.25	455.54999999999995	441.0	929.05	453.25	401.65	830.8
200739_s_at	940.9749999999999	243.525	434.05	496.25	455.54999999999995	441.0	929.05	6745.799999999999	401.65	149.15
200740_s_at	940.9749999999999	243.525	434.05	6475.799999999999	488.25	441.0	929.05	6745.799999999999	401.65	149.15
200741_s_at	940.9749999999999	243.525	434.05	6475.799999999999	488.25	441.0	929.05	6745.799999999999	401.65	149.15
200742_s_at	940.9749999999999	243.525	434.05	6475.799999999999	488.25	441.0	929.05	6745.799999999999	401.65	149.15
200743_s_at	940.9749999999999	243.525	434.05	6475.799999999999	488.25	441.0	929.05	6745.799999999999	401.65	437.15
200744_s_at	940.9749999999999	243.525	434.05	6475.799999999999	488.25	206.4	929.05	6745.799999999999	401.65	437.15
200745_s_at	940.9749999999999	243.525	852.3	6475.799999999999	488.25	206.4	929.05	6745.799999999999	401.65	437.15
200746_s_at	940.9749999999999	243.525	852.3	6475.799999999999	488.25	206.4	929.05	6745.799999999999	401.65	437.15
